movieId,keywordId
27205,15539
27205,11794
27205,14128
27205,798
27205,5321
27205,2091
27205,18730
27205,3417
27205,5731
27205,19049
27205,16268
27205,9986
27205,9377
27205,12817
27205,17743
27205,3504
27205,15941
27205,240
27205,6666
27205,20642
157336,15539
157336,9004
157336,18370
157336,18658
157336,8823
157336,3153
157336,701
157336,11692
157336,17984
157336,16554
157336,3436
157336,19748
157336,14487
157336,3333
157336,1188
157336,526
157336,13918
157336,19682
157336,19009
157336,2565
157336,5602
157336,661
157336,7592
157336,12222
157336,2075
157336,17124
157336,13636
157336,7251
157336,9792
157336,1231
157336,5134
157336,6134
155,20535
155,14670
155,2500
155,13073
155,813
155,18293
155,7534
155,13504
155,17040
155,16295
155,14112
155,13515
155,6572
155,21260
155,1574
155,2916
155,12130
155,16632
19995,9004
19995,10006
19995,20655
19995,16554
19995,11491
19995,6100
19995,7196
19995,11824
19995,3539
19995,1368
19995,526
19995,10838
19995,11857
19995,1220
19995,15697
19995,6422
19995,2685
19995,20391
19995,18685
19995,11605
24428,13696
24428,18293
24428,17594
24428,17040
24428,9578
24428,11842
24428,6564
24428,14394
24428,13930
293660,18293
293660,7534
293660,9161
293660,17040
293660,6564
293660,14394
299536,12197
299536,3059
299536,18293
299536,17040
299536,526
299536,8
299536,13871
299536,12714
299536,2916
299536,6564
299536,13930
299536,18643
550,12300
550,7683
550,3297
550,20096
550,4607
550,1271
550,11692
550,8527
550,935
550,16494
550,2481
550,4661
550,1179
550,13904
118340,18370
118340,17040
118340,526
118340,11387
118340,13172
118340,6564
118340,14394
118340,13930
680,16985
680,12169
680,19294
680,14604
680,14320
680,11790
680,17973
680,14674
680,2155
680,15941
680,240
680,1833
680,16375
680,5125
680,16632
680,16260
13,5778
13,16278
13,12065
13,14588
13,19319
13,13326
13,6493
13,7692
13,10419
13,8952
13,3297
13,19032
13,970
13,2909
13,20267
13,3821
13,13917
13,19334
13,10794
13,18023
13,16533
13,1188
13,4752
13,19273
13,17714
13,3731
13,11371
13,18726
13,14699
13,10224
671,7925
671,4681
671,14588
671,9109
671,18541
671,3297
671,3059
671,20227
671,12106
671,12634
671,17641
671,10185
671,3672
671,7046
671,4369
671,8852
671,5372
671,4444
671,14304
1726,18785
1726,18293
1726,18851
1726,18396
1726,17040
1726,6564
1726,13930
1726,11866
68718,15539
68718,14588
68718,10418
68718,218
68718,10098
68718,8215
68718,9314
68718,1180
68718,18486
68718,4753
68718,21364
68718,2962
68718,20981
68718,12221
68718,6564
68718,18217
68718,12721
68718,20976
68718,20806
68718,16322
68718,20055
68718,18602
68718,15040
68718,21229
68718,17334
68718,1674
278,14680
278,14588
278,15903
278,12481
278,3297
278,18026
278,13440
278,5624
278,17973
278,10620
278,6797
278,11439
278,17656
278,6835
278,4161
278,19671
299534,18293
299534,3119
299534,16554
299534,16874
299534,17040
299534,15325
299534,9578
299534,11842
299534,13930
299534,7236
299534,7251
299534,3947
603,7529
603,2243
603,14128
603,8823
603,10136
603,5428
603,4743
603,18730
603,4607
603,2532
603,10958
603,5731
603,11692
603,10280
603,5526
603,15293
603,6666
603,394
603,11318
603,6703
603,3580
603,3399
597,132
597,16758
597,55
597,1130
597,8839
597,13169
597,1577
597,17956
597,19333
597,7449
597,4437
597,6618
597,4347
597,20907
597,13693
597,4080
597,10930
597,17132
597,6422
597,14542
597,17014
597,10759
597,15064
597,6405
597,20628
597,12538
597,11921
597,3093
597,7872
597,19755
597,9218
597,16070
475557,14128
475557,20418
475557,10006
475557,7293
475557,12141
475557,478
475557,17040
475557,9617
475557,18824
475557,21260
475557,1972
475557,21019
475557,9771
475557,9117
475557,8066
475557,9849
475557,7054
475557,9967
475557,12836
475557,18726
475557,6790
475557,9149
475557,18965
120,3297
120,15451
120,9247
120,11374
120,3059
120,11835
120,5278
120,14184
120,1205
120,17626
120,12409
120,19196
120,16715
120,6891
120,11464
120,3757
120,21262
120,20826
120,15697
120,3737
120,10495
120,4369
120,13795
120,11620
120,9347
120,14470
120,2951
122,3297
122,15451
122,9247
122,11374
122,7899
122,19274
122,6891
122,3757
122,2779
122,722
122,9488
122,4571
122,12136
122,4369
122,15216
122,9347
122,14470
11324,19625
11324,3297
11324,9415
11324,11910
11324,20337
11324,8597
11324,202
11324,18824
11324,12068
11324,16632
11324,6183
106646,12481
106646,13917
106646,7534
106646,5344
106646,17168
106646,889
106646,4437
106646,12096
106646,14895
106646,3693
106646,19810
106646,4270
106646,7795
106646,6516
106646,840
106646,334
106646,15516
106646,12836
106646,5426
106646,4662
106646,17266
106646,11605
99861,8823
99861,18293
99861,17040
99861,15325
99861,11842
99861,14394
99861,13930
99861,18603
99861,10766
271110,1883
271110,18293
271110,17040
271110,15325
271110,6564
271110,14394
271110,13930
271110,5393
49026,4607
49026,19957
49026,5047
49026,13073
49026,813
49026,18293
49026,11449
49026,15741
49026,17040
49026,1568
49026,16295
49026,13515
49026,21486
49026,9203
49026,11075
49026,5098
49026,8082
49026,15438
49026,5339
68721,240
68721,12636
68721,18293
68721,18396
68721,17040
68721,14195
68721,16212
68721,6564
68721,13930
68721,8852
68721,6376
284054,15153
284054,18293
284054,17040
284054,6564
284054,14394
284054,13930
284052,3059
284052,18293
284052,8122
284052,14255
284052,17040
284052,14967
284052,10926
284052,7455
284052,4369
284052,6564
284052,14394
284052,13930
76341,15539
76341,9004
76341,13567
76341,14648
76341,11692
76341,19399
76341,4497
76341,7791
76341,15962
76341,14671
76341,13492
76341,12928
16869,5728
16869,3237
16869,5321
16869,2091
16869,6637
16869,4743
16869,14670
16869,17083
16869,19231
16869,15965
16869,7001
16869,17047
16869,31
16869,5886
16869,18228
16869,20214
16869,20048
70160,3297
70160,10142
70160,11692
70160,5659
70160,16362
70160,11115
70160,1638
70160,9323
70160,15129
70160,5372
315635,5068
315635,13696
315635,13326
315635,6493
315635,18293
315635,17040
315635,497
315635,6564
315635,13930
672,7925
672,17377
672,9247
672,3059
672,14172
672,1980
672,12106
672,12634
672,3838
672,14963
672,4599
672,3272
672,4369
672,6564
672,8852
672,5372
672,14304
283995,18293
283995,17040
283995,15325
283995,13702
283995,526
283995,6564
283995,14394
283995,13930
121,11794
121,4800
121,3297
121,13922
121,15451
121,9247
121,11374
121,10113
121,8196
121,1221
121,11326
121,3757
121,978
121,21415
121,17149
121,3737
121,2481
121,4369
121,11620
121,9347
121,14470
1771,13696
1771,6637
1771,18293
1771,15965
1771,5225
1771,17594
1771,17040
1771,21034
1771,9845
1771,21390
1771,13696
1771,6564
1771,13930
1771,6790
1771,1133
1771,12179
